artist,song,duration_s,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,country,latin,Folk/Acoustic,blues,classical,pop,easy listening,World/Traditional,hip hop,Dance/Electronic,metal,R&B,jazz,rock
Chingy,Pullin' Me Back,234.133,1,2006,0.62,0.786,0.511,7,-6.66,1,0.286,0.0825,0.0,0.12,0.587,80.0,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Nickelback,Far Away,238.173,0,2005,0.7,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,"rock, metal",0,0,0,0,0,0,0,0,0,0,1,0,0,1
Fall Out Boy,"Dance, Dance",180.266,0,2005,0.74,0.622,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.452,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leona Lewis,A Moment Like This,257.293,0,2007,0.57,0.261,0.562,8,-3.667,1,0.0301,0.423,7.54e-06,0.131,0.167,70.543,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
T.I.,What You Know,274.333,1,2006,0.64,0.551,0.81,11,-4.365,1,0.0344,0.0155,0.0,0.169,0.332,73.464,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ludacris,Money Maker,230.613,1,2006,0.62,0.551,0.598,1,-6.79,1,0.27,0.15,0.0,0.299,0.612,78.756,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Nick Lachey,What's Left Of Me,244.613,0,2006,0.37,0.42,0.742,7,-5.665,1,0.0375,0.142,0.0,0.145,0.294,149.965,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jibbs,Chain Hang Low,207.586,1,2006,0.56,0.792,0.589,4,-6.869,0,0.262,0.0259,0.000128,0.114,0.778,157.147,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Arctic Monkeys,When The Sun Goes Down,202.133,1,2006,0.72,0.348,0.875,11,-4.758,0,0.199,0.0341,0.0,0.117,0.407,169.152,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Beyoncé,Check On It (feat. Slim Thug),211.186,0,2006,0.45,0.7,0.887,7,-3.887,1,0.218,0.0805,0.0,0.376,0.883,166.104,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Keyshia Cole,Love,255.333,0,2005,0.72,0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Lily Allen,Smile,196.893,1,2006,0.68,0.632,0.639,5,-5.938,1,0.0259,0.00143,0.0,0.221,0.733,95.506,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ne-Yo,Sexy Love,220.853,0,2006,0.67,0.693,0.516,8,-6.446,1,0.0413,0.297,0.000127,0.0604,0.494,94.02,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
JoJo,Too Little Too Late,223.68,0,2006,0.48,0.535,0.823,6,-5.338,0,0.0431,0.0113,3.88e-06,0.146,0.685,83.001,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Mary J. Blige,One,260.466,0,2005,0.64,0.344,0.874,0,-3.161,1,0.0777,0.0841,0.0,0.129,0.269,185.888,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Bubba Sparxxx,Ms. New Booty,252.653,1,2005,0.62,0.64,0.62,1,-5.931,1,0.416,0.016,0.0,0.0831,0.609,129.37,"hip hop, pop, country",1,0,0,0,0,1,0,0,1,0,0,0,0,0
Amy Winehouse,You Know I'm No Good,256.946,0,2006,0.63,0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383,R&B,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rascal Flatts,What Hurts The Most,214.106,0,2006,0.69,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,country,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Hot Chili Peppers,Dani California,282.16,0,2006,0.76,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Scissor Sisters,I Don't Feel Like Dancin',288.36,0,2006,0.63,0.707,0.923,7,-3.409,1,0.0276,0.0195,0.0,0.342,0.845,108.023,"pop, rock, Dance/Electronic",0,0,0,0,0,1,0,0,0,1,0,0,0,1
Ne-Yo,So Sick,207.186,0,2006,0.75,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Hinder,Lips Of An Angel,261.053,0,2019,0.35,0.474,0.744,2,-5.386,1,0.0341,0.0208,1.22e-06,0.209,0.238,129.005,"pop, rock, metal",0,0,0,0,0,1,0,0,0,0,1,0,0,1
The Raconteurs,"Steady, As She Goes",215.266,0,2006,0.56,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Fratellis,Chelsea Dagger,215.306,0,2006,0.68,0.511,0.815,7,-3.14,1,0.144,0.0491,0.0,0.0826,0.586,154.514,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),231.866,1,2005,0.42,0.684,0.819,1,-3.309,0,0.238,0.262,0.00197,0.113,0.25,179.999,"hip hop, pop, rock",0,0,0,0,0,1,0,0,1,0,0,0,0,1
Panic! At The Disco,I Write Sins Not Tragedies,185.586,0,2005,0.7,0.566,0.815,9,-4.481,0,0.14,0.0737,0.0,0.12,0.672,169.961,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
James Blunt,Goodbye My Lover,258.653,0,2005,0.67,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Christina Aguilera,Ain't No Other Man,228.906,0,2006,0.63,0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Keane,Is It Any Wonder?,186.173,0,2006,0.59,0.489,0.955,11,-2.771,0,0.0363,3.82e-05,0.000178,0.334,0.816,129.352,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Orson,No Tomorrow,167.493,0,2006,0.46,0.656,0.624,3,-4.623,0,0.0691,0.0065,0.0,0.278,0.735,124.082,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KT Tunstall,Black Horse And The Cherry Tree,172.373,0,2005,0.64,0.748,0.786,4,-7.788,0,0.0641,0.328,0.0,0.34,0.917,104.833,"World/Traditional, pop, Folk/Acoustic",0,0,1,0,0,1,0,1,0,0,0,0,0,0
Natasha Bedingfield,Unwritten,259.333,0,2004,0.02,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Razorlight,America,249.76,0,2006,0.67,0.447,0.568,2,-4.975,1,0.0305,0.295,3.26e-06,0.355,0.149,90.933,"rock, pop",0,0,0,0,0,1,0,0,0,0,0,0,0,1
James Morrison,You Give Me Something,213.173,0,2006,0.64,0.559,0.688,7,-6.496,1,0.114,0.216,0.0,0.0855,0.578,79.753,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Snow Patrol,You're All I Have,273.333,0,2006,0.35,0.467,0.921,2,-4.554,1,0.045,5.48e-05,0.0566,0.176,0.501,132.013,"World/Traditional, rock, pop",0,0,0,0,0,1,0,1,0,0,0,0,0,1
The Fray,How to Save a Life,262.533,0,2005,0.79,0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),151.64,0,2006,0.61,0.7,0.465,4,-6.815,1,0.358,0.544,0.0,0.606,0.719,108.102,"World/Traditional, pop",0,0,0,0,0,1,0,1,0,0,0,0,0,0
My Chemical Romance,Welcome to the Black Parade,311.106,0,2006,0.76,0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Razorlight,In The Morning,222.453,0,2006,0.59,0.616,0.855,4,-3.495,0,0.042,0.00379,0.000863,0.318,0.686,124.191,"rock, pop",0,0,0,0,0,1,0,0,0,0,0,0,0,1
James Morrison,Wonderful World,210.066,0,2006,0.49,0.474,0.71,1,-4.606,1,0.029,0.0548,0.0,0.0974,0.591,78.969,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Chris Brown,Yo (Excuse Me Miss),229.04,0,2005,0.69,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
The Kooks,Naive,203.506,0,2006,0.73,0.391,0.808,8,-6.209,0,0.0892,0.0759,0.0,0.149,0.737,100.304,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leona Lewis,Bleeding Love,262.466,0,2007,0.75,0.638,0.656,5,-5.886,1,0.0357,0.188,0.0,0.146,0.225,104.036,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Rihanna,Umbrella,275.986,0,2008,0.81,0.583,0.829,1,-4.603,1,0.134,0.00864,0.0,0.0426,0.575,174.028,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Britney Spears,Gimme More,251.24,0,2007,0.79,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fergie,Big Girls Don't Cry (Personal),268.12,0,2006,0.76,0.708,0.641,7,-4.296,1,0.0335,0.205,0.0,0.0945,0.253,113.082,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Plain White T's,Hey There Delilah,232.533,0,2005,0.78,0.656,0.291,2,-10.572,1,0.0293,0.872,0.0,0.114,0.298,103.971,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),448.573,0,2006,0.7,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.573,0.432,76.0,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gwen Stefani,The Sweet Escape,246.466,0,2006,0.71,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Timbaland,The Way I Are,179.12,0,2007,0.8,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Nelly Furtado,Say It Right,223.08,0,2006,0.81,0.872,0.872,1,-6.328,1,0.139,0.0476,0.00112,0.0543,0.809,116.948,"hip hop, pop, latin",0,1,0,0,0,1,0,0,1,0,0,0,0,0
Ida Corr,Let Me Think About It,151.973,0,2012,0.43,0.762,0.754,0,-3.425,0,0.046,0.00022,0.0665,0.146,0.715,129.026,set(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Gaudino,Destination Calabria - Radio Edit,223.111,0,2007,0.73,0.627,0.954,2,-4.804,1,0.0425,0.0015,0.000814,0.292,0.312,128.016,Dance/Electronic,0,0,0,0,0,0,0,0,0,1,0,0,0,0
September,Cry for You,209.8,0,2007,0.65,0.767,0.881,9,-3.988,1,0.0301,0.00133,0.000139,0.0551,0.961,130.018,"pop, Dance/Electronic",0,0,0,0,0,1,0,0,0,1,0,0,0,0
Akon,Smack That,212.36,1,2006,0.58,0.94,0.743,5,-5.166,0,0.0475,0.317,0.0,0.0909,0.932,118.988,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Timbaland,Give It To Me,234.026,1,2007,0.7,0.975,0.711,8,-3.904,1,0.0632,0.168,0.000552,0.0799,0.815,110.621,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
50 Cent,Ayo Technology,247.946,1,2007,0.67,0.63,0.782,8,-5.44,0,0.132,0.0828,0.0,0.034,0.418,140.144,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ciara,Like a Boy,237.053,0,2006,0.68,0.701,0.724,0,-5.751,0,0.145,0.267,0.0,0.0867,0.425,132.035,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Kanye West,Stronger,311.866,1,2007,0.54,0.617,0.717,10,-7.858,0,0.153,0.00564,0.0,0.408,0.49,103.992,hip hop,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beyoncé,Beautiful Liar,199.853,0,2007,0.64,0.764,0.751,8,-3.74,1,0.0703,0.00554,0.000237,0.164,0.418,91.977,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,237.173,0,2007,0.59,0.584,0.681,1,-5.084,0,0.0781,0.495,0.0,0.289,0.821,79.702,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Akon,I Wanna Love You,247.066,1,2006,0.53,0.865,0.45,0,-9.387,1,0.0417,0.0359,1.28e-06,0.308,0.352,99.989,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Soulja Boy,Crank That (Soulja Boy),221.933,0,2007,0.74,0.736,0.74,0,-2.18,1,0.0786,0.515,0.0,0.0468,0.803,140.141,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Fat Joe,Make It Rain,247.413,1,2006,0.59,0.744,0.697,11,-5.063,0,0.197,0.0106,0.0,0.0842,0.767,149.28,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Rihanna,Shut Up And Drive,212.28,0,2008,0.69,0.735,0.826,1,-4.902,1,0.0349,0.00101,0.129,0.197,0.74,132.964,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Lloyd,Get It Shawty,209.533,0,2007,0.62,0.822,0.905,5,-4.032,0,0.241,0.123,0.0,0.0496,0.674,128.014,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Kanye West,Can't Tell Me Nothing,271.6,1,2007,0.47,0.596,0.62,5,-6.133,0,0.039,0.0122,0.0,0.82,0.102,80.029,hip hop,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,152.333,0,2006,0.17,0.847,0.861,6,-6.632,1,0.0603,0.278,0.029,0.0626,0.724,127.894,set(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linkin Park,What I've Done,205.613,0,2007,0.77,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,"rock, metal",0,0,0,0,0,0,0,0,0,0,1,0,0,1
Keyshia Cole,Last Night,255.706,0,2007,0.6,0.918,0.857,3,-5.032,0,0.0623,0.166,0.0003,0.0855,0.972,121.006,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Chris Brown,Kiss Kiss (feat. T-Pain),250.666,0,2007,0.68,0.729,0.658,10,-3.386,0,0.225,0.0506,0.0,0.0693,0.551,140.043,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Shop Boyz,Party Like A Rock Star,253.4,1,2007,0.61,0.619,0.709,7,-4.633,1,0.0395,0.00541,0.0,0.507,0.68,144.972,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Finger Eleven,Paralyzer,208.106,0,2007,0.73,0.644,0.939,11,-3.486,0,0.0456,0.157,0.0,0.233,0.861,106.031,"rock, metal",0,0,0,0,0,0,0,0,0,0,1,0,0,1
Justin Timberlake,Summer Love,252.973,0,2006,0.66,0.606,0.591,0,-7.228,0,0.087,0.0756,0.0,0.328,0.477,95.802,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MiMS,This Is Why I'm Hot,253.706,1,2007,0.59,0.621,0.6,8,-6.349,1,0.576,0.277,0.0,0.495,0.485,80.021,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Fabolous,Make Me Better,253.573,1,2007,0.62,0.607,0.599,11,-6.886,1,0.0995,0.33,0.0,0.199,0.562,86.491,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Seether,Fake It,193.893,1,2007,0.73,0.611,0.95,8,-3.509,1,0.0518,0.00141,1.59e-06,0.0543,0.607,132.078,"rock, metal",0,0,0,0,0,0,0,0,0,0,1,0,0,1
Arctic Monkeys,Brianstorm,172.866,0,2007,0.67,0.42,0.974,1,-4.706,1,0.191,8.15e-05,0.00155,0.0871,0.463,165.182,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fergie,Glamorous,246.6,1,2006,0.64,0.811,0.757,0,-6.447,1,0.23,0.298,0.0,0.103,0.565,130.993,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Linkin Park,Bleed It Out,166.373,1,2007,0.73,0.529,0.967,1,-3.647,0,0.0508,0.114,0.0,0.61,0.596,140.127,"rock, metal",0,0,0,0,0,0,0,0,0,0,1,0,0,1
My Chemical Romance,Teenagers,161.92,0,2006,0.8,0.463,0.857,4,-3.063,1,0.0632,0.0506,0.0,0.184,0.856,111.647,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Calvin Harris,Acceptable in the 80's,333.68,0,2007,0.57,0.787,0.808,7,-5.454,1,0.0511,0.0143,0.257,0.0466,0.942,127.99,"hip hop, pop, Dance/Electronic",0,0,0,0,0,1,0,0,1,1,0,0,0,0
Sugababes,About You Now,212.4,0,2007,0.66,0.584,0.699,1,-6.065,0,0.0378,6.52e-05,6.05e-05,0.486,0.585,82.499,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Avril Lavigne,Girlfriend,216.6,1,2007,0.75,0.56,0.959,7,-2.433,1,0.102,0.000722,0.000221,0.209,0.669,163.983,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ne-Yo,Because Of You,266.84,0,2007,0.74,0.81,0.538,0,-5.784,0,0.0356,0.528,0.0,0.0951,0.828,109.97,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Daughtry,It's Not Over,215.173,0,2016,0.45,0.45,0.921,10,-3.476,0,0.0538,0.0467,0.0,0.311,0.413,145.959,"pop, rock, metal",0,0,0,0,0,1,0,0,0,0,1,0,0,1
Unk,Walk It Out,173.04,1,2013,0.48,0.794,0.777,1,-3.696,0,0.0813,0.0982,0.0,0.202,0.706,160.022,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Lloyd,You,273.133,0,2007,0.7,0.412,0.876,5,-6.008,0,0.47,0.102,0.0,0.297,0.703,130.159,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Klaxons,Golden Skans,165.12,0,2007,0.65,0.463,0.836,2,-2.776,0,0.0381,0.000418,7.38e-06,0.25,0.713,141.955,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
T-Pain,Bartender (feat. Akon),238.8,1,2007,0.03,0.675,0.394,8,-8.539,1,0.133,0.0611,0.0,0.214,0.405,104.987,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Baby Boy Da Prince,The Way I Live - Main Explicit,324.906,1,2006,0.59,0.88,0.438,0,-7.562,1,0.248,0.0147,0.0,0.0907,0.714,90.02,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Fergie,Fergalicious,292.373,1,2006,0.63,0.906,0.584,8,-7.72,0,0.316,0.0576,0.0,0.128,0.831,129.055,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Omarion,Ice Box,256.426,0,2006,0.57,0.775,0.731,8,-5.446,1,0.134,0.189,0.0,0.129,0.821,131.105,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Pretty Ricky,On the Hotline - Amended Version,242.586,0,2007,0.57,0.704,0.854,10,-5.477,0,0.183,0.0185,0.0,0.148,0.688,92.988,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Nickelback,Rockstar,252.04,0,2005,0.69,0.616,0.91,0,-3.004,1,0.0386,0.0459,0.0,0.343,0.693,144.072,"rock, metal",0,0,0,0,0,0,0,0,0,0,1,0,0,1
Fall Out Boy,Thnks fr th Mmrs,203.506,0,2007,0.76,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Justin Timberlake,LoveStoned / I Think She Knows (Interlude),444.333,1,2006,0.57,0.859,0.681,1,-6.247,1,0.0549,0.34,0.000161,0.213,0.852,121.243,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
All Time Low,"Dear Maria, Count Me In",182.826,0,2007,0.76,0.459,0.895,2,-3.126,1,0.0805,0.00725,0.0,0.206,0.572,181.04,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Amy Winehouse,Back To Black,241.293,1,2006,0.76,0.403,0.422,7,-13.964,0,0.0373,0.134,2.05e-05,0.0861,0.378,122.728,R&B,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Keyshia Cole,Let It Go,238.36,0,2007,0.58,0.808,0.721,1,-5.165,1,0.213,0.197,0.0,0.205,0.773,94.955,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Ciara,Promise,267.413,0,2006,0.56,0.697,0.629,9,-5.757,1,0.0425,0.409,3.8e-06,0.0819,0.439,123.279,"pop, R&B",0,0,0,0,0,1,0,0,0,0,0,1,0,0
Enrique Iglesias,Do You Know? (The Ping Pong Song),219.533,0,2007,0.45,0.753,0.759,8,-4.829,1,0.0487,0.0523,0.0,0.0263,0.706,114.999,"pop, latin",0,1,0,0,0,1,0,0,0,0,0,0,0,0
T2,Heartbroken - Edit,178.613,0,2017,0.59,0.716,0.757,11,-5.438,0,0.0329,0.0258,0.00392,0.16,0.877,139.986,Dance/Electronic,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Robyn,With Every Heartbeat,254.92,0,2005,0.36,0.477,0.865,4,-4.462,0,0.0395,0.00877,4.52e-05,0.271,0.413,120.872,"pop, Dance/Electronic",0,0,0,0,0,1,0,0,0,1,0,0,0,0
Maroon 5,Makes Me Wonder,211.08,1,2007,0.62,0.803,0.851,7,-2.429,1,0.0357,0.00485,0.000358,0.0577,0.881,113.996,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fall Out Boy,"This Ain't A Scene, It's An Arms Race",212.04,0,2007,0.68,0.435,0.887,9,-4.07,1,0.0636,0.000747,0.0,0.0327,0.408,199.935,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paramore,Misery Business,211.52,0,2007,0.72,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,"pop, rock",0,0,0,0,0,1,0,0,0,0,0,0,0,1
Hinder,Better Than Me,223.533,0,2019,0.3,0.451,0.682,2,-5.295,0,0.029,0.205,0.0,0.175,0.254,139.913,"pop, rock, metal",0,0,0,0,0,1,0,0,0,0,1,0,0,1
Huey,"Pop, Lock & Drop It - Video Edit",261.026,0,2006,0.52,0.723,0.644,11,-6.863,0,0.222,0.00308,0.0,0.352,0.645,144.09,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Foo Fighters,The Pretender,269.373,0,2007,0.78,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,"rock, metal",0,0,0,0,0,0,0,0,0,0,1,0,0,1
Plies,Shawty (feat. T Pain),255.413,1,2007,0.61,0.444,0.708,4,-5.926,0,0.126,0.0419,0.0,0.0775,0.26,105.412,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Kaiser Chiefs,Ruby,204.2,0,2007,0.67,0.451,0.939,5,-2.82,0,0.0512,0.00673,4.85e-06,0.0774,0.448,93.416,rock,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mark Ronson,Stop Me (feat. Daniel Merriweather),232.946,0,2007,0.46,0.626,0.906,0,-4.334,1,0.0403,0.00128,8.52e-06,0.137,0.346,118.035,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bow Wow,Outta My System (feat. T-Pain & Johntá Austin),238.266,0,2006,0.57,0.772,0.59,6,-6.957,1,0.183,0.0917,0.0,0.101,0.743,83.998,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
The Red Jumpsuit Apparatus,Face Down,192.0,0,2006,0.74,0.545,0.932,7,-2.189,0,0.0399,0.000665,0.0,0.127,0.464,92.956,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MIKA,Grace Kelly,187.733,0,2006,0.69,0.675,0.828,0,-5.799,1,0.0454,0.0242,0.0102,0.364,0.669,122.229,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Christina Aguilera,Candyman,194.213,0,2006,0.66,0.686,0.789,8,-4.713,0,0.23,0.0125,0.0147,0.142,0.72,172.976,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sean Kingston,Beautiful Girls,225.373,0,2007,0.78,0.762,0.661,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Akon,Don't Matter,293.066,1,2006,0.52,0.801,0.454,2,-6.035,1,0.0371,0.225,0.0,0.226,0.34,125.139,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
James Blunt,1973,280.026,0,2007,0.68,0.72,0.668,9,-7.928,1,0.0269,0.0652,0.00664,0.0789,0.768,123.007,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Carrie Underwood,Before He Cheats,199.946,0,2005,0.76,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905,"pop, country",1,0,0,0,0,1,0,0,0,0,0,0,0,0
Just Jack,Starz In Their Eyes,295.933,0,2006,0.52,0.67,0.8,3,-6.731,1,0.0652,0.00184,0.000356,0.466,0.656,123.802,Dance/Electronic,0,0,0,0,0,0,0,0,0,1,0,0,0,0
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),227.96,0,2007,0.02,0.451,0.55,1,-8.137,1,0.262,0.0108,0.0,0.0737,0.594,80.001,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,1,0,0,1,0,0
Bone Thugs-N-Harmony,I Tried,287.48,1,2007,0.61,0.727,0.71,4,-6.142,1,0.0742,0.0104,0.0,0.107,0.378,81.995,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
Avril Lavigne,When You're Gone,240.493,0,2007,0.68,0.457,0.719,4,-3.921,0,0.0323,0.191,0.0,0.228,0.168,142.034,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rich Boy,Throw Some D's,263.92,1,2007,0.57,0.697,0.86,11,-5.181,1,0.43,0.0368,0.0,0.0721,0.433,160.895,"hip hop, pop",0,0,0,0,0,1,0,0,1,0,0,0,0,0
MIKA,Love Today,235.173,0,2006,0.57,0.673,0.913,4,-4.981,1,0.0664,0.0304,0.00298,0.113,0.587,124.484,pop,0,0,0,0,0,1,0,0,0,0,0,0,0,0
